,fecha_hechos,delito,alcaldia_hechos,latitud,longitud,text
9178,2018-02-18 08:00:00,ABS,MIGUEL HIDALGO,19.4561880248518,-99.1844989160877,"Abuso, 2018-02-18 08:00:00"
9179,2018-01-26 21:00:00,ABS,IZTAPALAPA,19.376925564000498,-99.11883733739741,"Abuso, 2018-01-26 21:00:00"
9180,2018-02-19 10:20:00,ABS,LA MAGDALENA CONTRERAS,19.306171193373302,-99.2665766904054,"Abuso, 2018-02-19 10:20:00"
9181,2018-02-19 06:50:00,ABS,BENITO JUAREZ,19.370641882983197,-99.164912477803,"Abuso, 2018-02-19 06:50:00"
9182,2018-02-16 16:30:00,ABS,COYOACAN,19.311966351116897,-99.11737265978691,"Abuso, 2018-02-16 16:30:00"
9183,2018-02-18 18:00:00,ABS,MILPA ALTA,19.2188396197498,-98.9980637805793,"Abuso, 2018-02-18 18:00:00"
9184,2018-02-21 04:30:00,ABS,TLAHUAC,19.299893004722303,-99.0460755018052,"Abuso, 2018-02-21 04:30:00"
9185,2018-01-12 15:00:00,ABS,ALVARO OBREGON,19.3883565827504,-99.21190981270041,"Abuso, 2018-01-12 15:00:00"
9186,2018-02-21 04:00:00,ABS,VENUSTIANO CARRANZA,19.4477418969165,-99.1060924255987,"Abuso, 2018-02-21 04:00:00"
9187,2018-02-21 17:40:00,ABS,CUAUHTEMOC,19.409111000141802,-99.1355208996937,"Abuso, 2018-02-21 17:40:00"
9188,2018-02-17 21:30:00,ABS,BENITO JUAREZ,19.370327204604003,-99.1587732584083,"Abuso, 2018-02-17 21:30:00"
9189,2018-02-15 09:30:00,ABS,TLAHUAC,19.2179237116053,-98.9746030168418,"Abuso, 2018-02-15 09:30:00"
9190,2018-02-24 21:00:00,ABS,COYOACAN,19.3262210861368,-99.11152138803551,"Abuso, 2018-02-24 21:00:00"
9191,2018-02-25 20:00:00,ABS,ALVARO OBREGON,19.3916195497083,-99.2016298701795,"Abuso, 2018-02-25 20:00:00"
9192,2018-02-26 15:20:00,ABS,ALVARO OBREGON,19.3953028702695,-99.1930046059287,"Abuso, 2018-02-26 15:20:00"
9193,2018-02-26 18:30:00,ABS,AZCAPOTZALCO,19.4842602467488,-99.1773665136747,"Abuso, 2018-02-26 18:30:00"
9194,2018-02-27 22:15:00,ABS,GUSTAVO A MADERO,19.4673492912445,-99.100834326185,"Abuso, 2018-02-27 22:15:00"
9195,2017-11-30 08:00:00,ABS,GUSTAVO A MADERO,19.4797411270204,-99.09845524868608,"Abuso, 2017-11-30 08:00:00"
9196,2018-02-27 06:40:00,ABS,AZCAPOTZALCO,19.503446459486,-99.2110945076174,"Abuso, 2018-02-27 06:40:00"
9197,2018-02-28 14:00:00,ABS,VENUSTIANO CARRANZA,19.439909509794802,-99.08210055823228,"Abuso, 2018-02-28 14:00:00"
9198,2017-12-17 08:00:00,ABS,TLALPAN,19.284445094553398,-99.23988388522508,"Abuso, 2017-12-17 08:00:00"
9199,2017-12-16 20:30:00,ABS,ALVARO OBREGON,19.3974023663887,-99.19194534237059,"Abuso, 2017-12-16 20:30:00"
9200,2017-12-11 00:00:00,ABS,TLAHUAC,19.297106063799397,-99.01807905549829,"Abuso, 2017-12-11 00:00:00"
9201,2017-12-16 20:00:00,ABS,VENUSTIANO CARRANZA,19.4138147538643,-99.076937555476,"Abuso, 2017-12-16 20:00:00"
9202,2017-10-26 14:00:00,ABS,BENITO JUAREZ,19.3726547072235,-99.17123088174509,"Abuso, 2017-10-26 14:00:00"
9203,2017-11-19 11:30:00,ABS,TLALPAN,19.2886958712326,-99.165652862622,"Abuso, 2017-11-19 11:30:00"
9204,2017-12-27 11:00:00,ABS,GUSTAVO A MADERO,19.543356536729,-99.1466961185975,"Abuso, 2017-12-27 11:00:00"
9205,2017-12-27 20:35:00,ABS,CUAUHTEMOC,19.409595211761697,-99.1343927152611,"Abuso, 2017-12-27 20:35:00"
9206,2017-07-15 12:00:00,ABS,GUSTAVO A MADERO,19.4668542220775,-99.0935199089759,"Abuso, 2017-07-15 12:00:00"
9207,2017-09-16 06:05:00,ABS,TLALPAN,19.2832247043217,-99.20375839030051,"Abuso, 2017-09-16 06:05:00"
9208,2017-09-16 01:54:00,ABS,CUAJIMALPA DE MORELOS,19.3590103844585,-99.30628756964892,"Abuso, 2017-09-16 01:54:00"
